IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-06-10,11:24:47 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
152.59.163.38,2025-02-01,17:20:08 UTC,necessary,mobile,en,Chrome,iOS,India,WB,West Bengal,Kolkata,700032,22.5643,88.3693
152.59.163.30,2025-02-01,17:26:25 UTC,necessary,mobile,en,Chrome,iOS,India,WB,West Bengal,Kolkata,700032,22.5643,88.3693
152.59.163.139,2025-02-01,17:32:52 UTC,necessary,mobile,en,Chrome,iOS,India,WB,West Bengal,Kolkata,700032,22.5643,88.3693
152.59.165.188,2025-02-01,17:44:38 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
223.185.30.241,2025-02-01,17:55:26 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
103.220.208.181,2025-02-01,19:39:03 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700060,22.5643,88.3693
103.182.83.212,2025-02-05,15:21:00 UTC,necessary,desktop,en,Chrome,Windows,India,OD,Odisha,Jaleshwar,756032,21.8049,87.2167
152.59.166.48,2025-02-05,15:34:11 UTC,necessary,mobile,en,Chrome,iOS,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
152.59.164.233,2025-02-05,15:50:54 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
152.59.164.10,2025-02-05,16:09:34 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
152.59.164.10,2025-02-05,16:14:34 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
152.59.165.188,2025-02-05,22:20:40 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
103.182.83.232,2025-02-06,12:55:21 UTC,necessary,desktop,en,Chrome,Windows,India,OD,Odisha,Jaleshwar,756032,21.8049,87.2167
174.101.25.116,2025-02-06,18:00:00 UTC,necessary,desktop,en,Chrome,Windows,United States,OH,Ohio,Bellefontaine,43311,40.3626,-83.7565
223.185.29.45,2025-02-06,18:38:11 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700027,22.5643,88.3693
45.116.190.215,2025-02-08,22:54:01 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Durgapur,713212,23.5159,87.307
223.185.61.205,2025-02-09,16:09:43 UTC,necessary,desktop,en,Chrome,OS X,India,JH,Jharkhand,Ranchi,834001,23.3426,85.3099
103.189.103.131,2025-02-10,15:54:55 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Digha,721428,21.6248,87.5182
103.189.103.131,2025-02-12,16:11:07 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Digha,721428,21.6248,87.5182
103.144.193.244,2025-02-15,07:03:22 UTC,necessary,desktop,en,Chrome,Windows,India,OD,Odisha,Balāngīr,767001,20.7079,83.489
84.46.154.170,2025-02-25,05:49:44 UTC,necessary,desktop,en,Chrome,Windows,United States,NY,New York,New York,10118,40.7126,-74.0066
43.231.49.91,2025-02-26,03:17:30 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700061,22.5643,88.3693
152.56.133.250,2025-02-26,03:23:18 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700006,22.5643,88.3693
103.2.134.234,2025-02-26,03:37:38 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
36.50.197.204,2025-02-26,03:47:01 UTC,necessary,desktop,en,Chrome,Windows,India,HR,Haryana,Gurugram,122001,28.4597,77.0282
223.29.193.213,2025-02-26,19:30:40 UTC,necessary,desktop,en,Chrome,OS X,India,WB,West Bengal,Kolkata,700002,22.5643,88.3693
59.183.0.143,2025-02-26,20:42:13 UTC,necessary,desktop,en,Chrome,Windows,India,HR,Haryana,Gohāna,131301,29.1415,76.7045
223.29.193.213,2025-02-26,21:03:55 UTC,necessary,mobile,en,Safari,iOS,India,WB,West Bengal,Kolkata,700002,22.5643,88.3693
174.101.25.116,2025-02-26,21:04:16 UTC,necessary,mobile,en,Google Search,iOS,United States,OH,Ohio,Bellefontaine,43311,40.3626,-83.7565
103.189.103.30,2025-02-26,21:06:03 UTC,necessary,mobile,en,Safari,iOS,India,WB,West Bengal,Digha,721428,21.6248,87.5182
223.29.193.213,2025-02-26,21:08:38 UTC,necessary,mobile,en,Safari,iOS,India,WB,West Bengal,Kolkata,700002,22.5643,88.3693
45.249.164.240,2025-02-27,03:14:33 UTC,necessary,desktop,en,Edge,Windows,India,WB,West Bengal,Kolkata,700032,22.5643,88.3693
185.107.56.154,2025-02-27,03:18:29 UTC,necessary,desktop,en,Edge,Windows,The Netherlands,NB,North Brabant,Roosendaal,4701,51.5359,4.46532
152.58.183.80,2025-02-27,03:32:46 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700002,22.5643,88.3693
116.193.130.223,2025-02-27,03:42:36 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700006,22.5643,88.3693
122.164.173.133,2025-02-27,03:54:18 UTC,necessary,desktop,en,Chrome,Windows,India,TS,Telangana,Hyderabad,500060,17.3843,78.4583
223.223.131.158,2025-02-27,04:18:54 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
223.223.131.158,2025-02-27,04:19:37 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
103.220.208.181,2025-02-27,05:19:50 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700065,22.5643,88.3693
45.249.164.240,2025-02-27,05:54:01 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700032,22.5643,88.3693
49.37.9.64,2025-02-27,06:09:17 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700027,22.5643,88.3693
223.226.45.112,2025-02-27,07:19:38 UTC,necessary,desktop,en,Chrome,Windows,India,BR,Bihar,Purnia,854301,25.7843,87.4752
103.77.45.239,2025-02-27,08:56:07 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700071,22.5643,88.3693
202.142.119.49,2025-02-27,10:06:28 UTC,necessary,desktop,en,Chrome,OS X,India,WB,West Bengal,Kolkata,700091,22.5643,88.3693
202.142.119.49,2025-02-27,18:22:48 UTC,necessary,mobile,en,Chrome,iOS,India,WB,West Bengal,Kolkata,700091,22.5643,88.3693
122.164.173.133,2025-02-27,19:35:34 UTC,necessary,desktop,en,Chrome,Windows,India,TS,Telangana,Hyderabad,500060,17.3843,78.4583
223.185.29.38,2025-02-27,19:43:43 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700027,22.5643,88.3693
27.122.61.98,2025-02-27,20:25:29 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Chandrakona,721201,22.7333,87.5167
103.110.249.154,2025-02-27,20:36:36 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Amritsar,143002,31.6203,74.8765
45.251.232.202,2025-02-27,21:21:27 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700078,22.5643,88.3693
